Версия 1.1,,,Версия 1.2,,,
,,,,,,"Во время проведения  тестирования были обновления и в браузере Opera GX LVL3 (core: 85.0.4341.72) появились изменения: гамбургер - меню изменилось на меню, ""звонок по России"" отображается и в шапке сайта, отсутствует кнопка для входа в личный кабинет(является блокирующим багом)"
Проект,, bf-dev.ru,,,,
Версия,,1.1,,,,
Окружение,,"1.Система:Windows 10 64-bit;Opera GX LVL3 (core: 85.0.4341.72) 
2.Система:Windows 10 64-bit; Firefox 109.0 (64-разрядный)
3.Система:Windows 10 64-bit; Google Chrome. Версия 109.0.5414.75 (Официальная сборка), (64 бит)
4. Redmi Note 8T; версия Adroid 10 QKQ1.200114.022;версия MIUI 12.0.4  Mi Браузер.Верся v12.4.4-g


",,,,
Дата,,20.01.2023,,,,
Тестировщик,,Юдина Е.В.,,,,
№,Проверка,Данные,Результат,Ссылка на баг,Комментарий,Улучшения
,Открывается сайт bf-dev.ru,,Pass,,,
,,,Fail,Bug_1,"для окружения 1,2,3",
Форма калькулятора(выбор суммы и периода займа) ,,,,,,
1," ""Какая сумма вам нужна?""",,,,,отобразить процентную ставку под которую берется займ
1.1,Возможность беремещать бегунок,,Pass,,,указать валюту займа
1.2,минимальная сумма,1000,Pass,,,
1.3,максимальная сумма,15000,Pass,,,"изменить шаг увеличения числа, для возможности выбора круглого значения 1500, 2000,2100 и т.д."
1.4,минимальная сумма<сумма<максимальная сумма,5177,Pass,,,
1.5,"отсутствует возможность ввода суммы в поле  ""Какая сумма вам нужна?""",,Pass,,"поле имеет тип:input type=""range""",
1.6.,"в поле  ""Какая сумма вам нужна?"" отображается сумма выбранная при помощи бегунка",,Pass,,,
,,,Fail (для 4-го окружения),Bug_2,,
2,"""На какой срок?""",,,,,"указать в чем измеряется срок: дни, недели, месяцы"
2.1,Возможность беремещать бегунок,,Pass,,,
2.2,минимальное количество дней,7,Pass,,,
2.3,максимальное количество дней,30,Pass,,,
2.4,мин. количество дней<дни<макс. количество дней,14,Pass,,,
2.5,"отсутствует возможность ввода количества дней в поле  ""На какой срок?""",,Pass,,"поле имеет тип:input type=""range""",
2.6,"в поле  ""На какой срок?"" отображается количество дней выбранное при помощи бегунка",,Pass,,,
,,,Fail (для 4-го окружения),Bug_3,,
3,"Корректное отбражение: ""Сумма кредита"", ""Дата погашения"", ""К возврату"" с учетом введенных данных",,,,,
3.1,"""Сумма кредита""=сумме выбранной при помощи бегутка  ""Какая сумма вам нужна?"" ",,Pass,,,
,,,Blocked (для 4-го окружения),,заблокирован багом выше,
3.2,"""Дата погашения""=текущая дата+дата выбранная при помощи бегутка  ""На какой срок?"" ",,Pass,,,
,,,Blocked (для 4-го окружения),,,
3.3,"""К возврату""",,NotTested,,"нет требований для формулы рассчета ""К возврату""",
,Шапка сайта,,,,,
4,Гамбургер-меню ,,,,,
4.1,"при нажатии на меню отобрается список: ""Получить деньги"", ""Погасить или продлить займ"", ""Документы""",,Pass,,,
4.2,"при нажатии на ""Получить деньги"" осуществляется переход на страницу ""Получить деньги""",,Fail,Bug_4,возможно данные страницы еще не реализованны,
4.3,"при нажатии на  ""Погасить или продлить займ"" осуществляется переход на страницу  ""Погасить или продлить займ""",,Fail,аналогично   Bug_4,,
4.4,"при нажатии на ""Документы"" осуществляется переход на страницу ""Документы""",,Fail,аналогично  Bug_4,,
4.5,"закрытие меню при нажатии на ""x""",,Pass,,,
5,Вход в личный кабинет,,,,,"в названии кабинета отобразить:""Войти или создать профиль"""
5.1,при нажатии иконки личного кабинета открывается окно входа в личный кабинет ,,Pass,,,"воспользоваться данным шаблоном для входа в ""Личный кабинет"""
5.2,"выход из личного кабинета осуществляется при нажатии на кнопку ""Закрыть""",,Fail,Bug_5,,"название кнопки ""Войти""изменить на ""Получить код из смс"" или ""Продолжить"""
5.3,"кнопка ""Войти"" активна после ввода номере телефона",,Pass,,,"в окне ""Введите номер телефона""реализовать чек бокс на согласие рассылки новостей"
5.4,"открывается окно для ввода кода из смс после ввода  номера телефона и нажатии на кнопку ""Войти""",,Fail,Bug_6,возможно еще не реализованно ,"отобразить ""согласие с офертой и политикой конфиденциальности"" или ""Согласен с условиями """
5.5,"вход в личный кабинет после ввода кода из смс в окне ""Введите код из смс""",,Blocked ,,заблокированно Bug_6,
5.6,"отображение ошибки ""Введён неверный код"" при вводе неверного кода в окне ""Введите код из смс""",,Blocked ,,заблокированно Bug_6,
5.7,"при нажатии на кнопку ""Отправить код ещё раз"" приходит повторная смс с кодом",,Blocked,,заблокированно Bug_6,
5.8,"кнопка ""Войти"" не активна при не заполненном номере телефона",,Fail,Bug_7,,
5.9,"отсутствует возможность ввода в поле ""Ваш номер телефона"" букв, спецсимволов, пробелов",,Fail,Bug_8,,
6,Тело сайта,,,,,
6.1,"Раздел ""Частые вопросы""",,,,,
